rho,beta,alpha_BO,alpha_MNNE,alpha_LR_BO,alpha_LR_MNNE
0.352,1,0.5800960000000001,0.7859242157809676,0.8240000000000002,1.1163696246888746
0.353,1,0.581391,0.786981964205629,0.8235,1.1147053317360185
0.354,1,0.582684,0.7880358175282116,0.8230000000000001,1.1130449400115985
0.355,1,0.583975,0.7890857871265187,0.8225000000000001,1.1113884325725616
0.356,1,0.585264,0.7901318843336642,0.8220000000000001,1.109735792603461
0.357,1,0.5865509999999999,0.791174120438412,0.8214999999999999,1.1080870034151429
0.358,1,0.5878359999999999,0.7922125066855122,0.821,1.106442048443453
0.359,1,0.589119,0.7932470542760343,0.8205,1.1048009112479587
0.36,1,0.5904,0.7942777743676964,0.8200000000000001,1.1031635755106894
0.361,1,0.591679,0.7953046780751911,0.8195,1.1015300250348907
0.362,1,0.5929559999999999,0.7963277764705087,0.819,1.0999002437437966
0.363,1,0.594231,0.7973470805832562,0.8185,1.0982742156794163
0.364,1,0.595504,0.7983626014009744,0.8180000000000001,1.0966519250013385
0.365,1,0.5967749999999999,0.7993743498694504,0.8174999999999999,1.0950333559855485
0.366,1,0.5980439999999999,0.8003823368930277,0.817,1.093418493023262
0.367,1,0.599311,0.801386573334914,0.8165000000000001,1.0918073206197738
0.368,1,0.600576,0.802387070017484,0.8160000000000001,1.0901998233933206
0.369,1,0.601839,0.8033838377225806,0.8155,1.0885959860739574
0.37,1,0.6031,0.8043768871918134,0.815,1.0869957935024506
0.371,1,0.604359,0.805366229126853,0.8145,1.085399230629182
0.372,1,0.605616,0.8063518741897233,0.8140000000000001,1.083806282513069
0.373,1,0.606871,0.8073338330030914,0.8135000000000001,1.0822169343204977
0.374,1,0.608124,0.8083121161505525,0.813,1.080631171324268
0.375,1,0.609375,0.8092867341769158,0.8125,1.0790489789025544
0.376,1,0.6106240000000001,0.8102576975884827,0.812,1.0774703425378758
0.377,1,0.611871,0.8112250168533265,0.8115000000000001,1.0758952478160828
0.378,1,0.613116,0.812188702401568,0.8109999999999999,1.0743236804253546
0.379,1,0.614359,0.8131487646256488,0.8105,1.0727556261552094
0.38,1,0.6156,0.814105213880599,0.81,1.071191070895525
0.381,1,0.616839,0.8150580604843071,0.8095,1.0696300006355737
0.382,1,0.618076,0.816007314717785,0.8089999999999999,1.0680724014630694
0.383,1,0.6193110000000001,0.8169529868254284,0.8085000000000001,1.0665182595632223
0.384,1,0.6205440000000001,0.8178950870152807,0.8080000000000002,1.0649675612178133
0.385,1,0.621775,0.8188336254592864,0.8074999999999999,1.063420292804268
0.386,1,0.623004,0.8197686122935481,0.8069999999999999,1.0618764407947514
